"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"281","S. Abdul Hamid","M",NA,NA,NA,"India","IND","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Men's 110 metres Hurdles",NA
"281","S. Abdul Hamid","M",NA,NA,NA,"India","IND","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Men's 400 metres Hurdles",NA
"512","Shiny Kurisingal Abraham-Wilson","F",19,167,53,"India","IND","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's 800 metres",NA
"512","Shiny Kurisingal Abraham-Wilson","F",19,167,53,"India","IND","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's 4 x 400 metres Relay",NA
"512","Shiny Kurisingal Abraham-Wilson","F",23,167,53,"India","IND","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Women's 800 metres",NA
"512","Shiny Kurisingal Abraham-Wilson","F",23,167,53,"India","IND","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Women's 4 x 400 metres Relay",NA
"512","Shiny Kurisingal Abraham-Wilson","F",27,167,53,"India","IND","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Women's 800 metres",NA
"512","Shiny Kurisingal Abraham-Wilson","F",31,167,53,"India","IND","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 4 x 400 metres Relay",NA
"663","Sharath Kamal Achanta","M",22,186,85,"India","IND","2004 Summer",2004,"Summer","Athina","Table Tennis","Table Tennis Men's Singles",NA
"663","Sharath Kamal Achanta","M",26,186,85,"India","IND","2008 Summer",2008,"Summer","Beijing","Table Tennis","Table Tennis Men's Singles",NA
"663","Sharath Kamal Achanta","M",34,186,85,"India","IND","2016 Summer",2016,"Summer","Rio de Janeiro","Table Tennis","Table Tennis Men's Singles",NA
"952","Badathala Adisekhar","M",28,NA,53,"India","IND","1992 Summer",1992,"Summer","Barcelona","Weightlifting","Weightlifting Men's Flyweight",NA
"952","Badathala Adisekhar","M",32,NA,53,"India","IND","1996 Summer",1996,"Summer","Atlanta","Weightlifting","Weightlifting Men's Flyweight",NA
"1105","Mirza Najib Aga","M",19,NA,NA,"India","IND","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Half-Lightweight",NA
"1149","Neha Aggarwal","F",18,170,67,"India","IND","2008 Summer",2008,"Summer","Beijing","Table Tennis","Table Tennis Women's Singles",NA
"1331","Jahan Ahir","M",NA,NA,NA,"India","IND","1948 Summer",1948,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"1366","Jitendarjit Singh Ahluwalia","M",25,179,69,"India","IND","1980 Summer",1980,"Summer","Moskva","Equestrianism","Equestrianism Mixed Three-Day Event, Individual",NA
"1366","Jitendarjit Singh Ahluwalia","M",25,179,69,"India","IND","1980 Summer",1980,"Summer","Moskva","Equestrianism","Equestrianism Mixed Three-Day Event, Team",NA
"1399","A. Hussain Ahmed","M",NA,NA,NA,"India","IND","1956 Summer",1956,"Summer","Melbourne","Football","Football Men's Football",NA
"1455","Neha Ahuja","F",24,162,54,"India","IND","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Women's Giant Slalom",NA
"1455","Neha Ahuja","F",24,162,54,"India","IND","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Women's Slalom",NA
"1710","Balkrishan Akotkar","M",27,171,57,"India","IND","1964 Summer",1964,"Summer","Tokyo","Athletics","Athletics Men's Marathon",NA
"2702","Syed Ali","M",19,169,60,"India","IND","1976 Summer",1976,"Summer","Montreal","Hockey","Hockey Men's Hockey",NA
"2703","Syed Mushtaq Ali","M",22,165,61,"India","IND","1964 Summer",1964,"Summer","Tokyo","Hockey","Hockey Men's Hockey","Gold"
"2864","Richard James Allen","M",25,172,NA,"India","IND","1928 Summer",1928,"Summer","Amsterdam","Hockey","Hockey Men's Hockey","Gold"
"2864","Richard James Allen","M",30,172,NA,"India","IND","1932 Summer",1932,"Summer","Los Angeles","Hockey","Hockey Men's Hockey","Gold"
"2864","Richard James Allen","M",34,172,NA,"India","IND","1936 Summer",1936,"Summer","Berlin","Hockey","Hockey Men's Hockey","Gold"
"3538","Anand Amritraj","M",36,185,77,"India","IND","1988 Summer",1988,"Summer","Seoul","Tennis","Tennis Men's Doubles",NA
"3539","Vijay Amritraj","M",34,193,75,"India","IND","1988 Summer",1988,"Summer","Seoul","Tennis","Tennis Men's Singles",NA
"3539","Vijay Amritraj","M",34,193,75,"India","IND","1988 Summer",1988,"Summer","Seoul","Tennis","Tennis Men's Doubles",NA
"4523","Seema Antil","F",21,182,92,"India","IND","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Discus Throw",NA
"4523","Seema Antil","F",28,182,92,"India","IND","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Discus Throw",NA
"4523","Seema Antil","F",33,182,92,"India","IND","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's Discus Throw",NA
"7485","Dola Banerjee","F",24,162,69,"India","IND","2004 Summer",2004,"Summer","Athina","Archery","Archery Women's Individual",NA
"7485","Dola Banerjee","F",24,162,69,"India","IND","2004 Summer",2004,"Summer","Athina","Archery","Archery Women's Team",NA
"7485","Dola Banerjee","F",28,162,69,"India","IND","2008 Summer",2008,"Summer","Beijing","Archery","Archery Women's Individual",NA
"7485","Dola Banerjee","F",28,162,69,"India","IND","2008 Summer",2008,"Summer","Beijing","Archery","Archery Women's Team",NA
"7486","H. Harihar Banerjee","M",34,NA,NA,"India","IND","1952 Summer",1952,"Summer","Helsinki","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",NA
"7486","H. Harihar Banerjee","M",34,NA,NA,"India","IND","1952 Summer",1952,"Summer","Helsinki","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
"7486","H. Harihar Banerjee","M",34,NA,NA,"India","IND","1952 Summer",1952,"Summer","Helsinki","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
"7486","H. Harihar Banerjee","M",38,NA,NA,"India","IND","1956 Summer",1956,"Summer","Melbourne","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
"7487","Pradeep Kumar ""PK"" Banerjee","M",20,173,65,"India","IND","1956 Summer",1956,"Summer","Melbourne","Football","Football Men's Football",NA
"7487","Pradeep Kumar ""PK"" Banerjee","M",23,173,65,"India","IND","1960 Summer",1960,"Summer","Roma","Football","Football Men's Football",NA
"7488","Rahul Banerjee","M",25,179,80,"India","IND","2012 Summer",2012,"Summer","London","Archery","Archery Men's Individual",NA
"7488","Rahul Banerjee","M",25,179,80,"India","IND","2012 Summer",2012,"Summer","London","Archery","Archery Men's Team",NA
"7489","Samar Banerjee","M",NA,NA,NA,"India","IND","1956 Summer",1956,"Summer","Melbourne","Football","Football Men's Football",NA
"11196","Anant Ram Bhargava","M",NA,NA,NA,"India","IND","1948 Summer",1948,"Summer","London","Wrestling","Wrestling Men's Welterweight, Freestyle",NA
"11197","Vasudevan Bhaskaran","M",25,174,68,"India","IND","1976 Summer",1976,"Summer","Montreal","Hockey","Hockey Men's Hockey",NA
"11197","Vasudevan Bhaskaran","M",29,174,68,"India","IND","1980 Summer",1980,"Summer","Moskva","Hockey","Hockey Men's Hockey","Gold"
"11198","Balwinder Kaur Bhatia","F",21,160,NA,"India","IND","1980 Summer",1980,"Summer","Moskva","Hockey","Hockey Women's Hockey",NA
"11199","Randhawa Ranjit Bhatia","M",24,180,63,"India","IND","1960 Summer",1960,"Summer","Roma","Athletics","Athletics Men's 5,000 metres",NA
"11199","Randhawa Ranjit Bhatia","M",24,180,63,"India","IND","1960 Summer",1960,"Summer","Roma","Athletics","Athletics Men's Marathon",NA
"11200","Damber Dutta Bhatta","M",NA,164,47,"Nepal","NEP","1988 Summer",1988,"Summer","Seoul","Boxing","Boxing Men's Light-Flyweight",NA
"11201","Rabindranath ""Rabin"" Bhatta","M",NA,NA,NA,"India","IND","1948 Summer",1948,"Summer","London","Boxing","Boxing Men's Flyweight",NA
"11202","Deepankar Bhattacharya","M",20,178,68,"India","IND","1992 Summer",1992,"Summer","Barcelona","Badminton","Badminton Men's Singles",NA
"11202","Deepankar Bhattacharya","M",20,178,68,"India","IND","1992 Summer",1992,"Summer","Barcelona","Badminton","Badminton Men's Doubles",NA
"11202","Deepankar Bhattacharya","M",24,178,68,"India","IND","1996 Summer",1996,"Summer","Atlanta","Badminton","Badminton Men's Singles",NA
"11219","Mahesh Shrinivas Bhupathi","M",22,185,88,"India","IND","1996 Summer",1996,"Summer","Atlanta","Tennis","Tennis Men's Doubles",NA
"11219","Mahesh Shrinivas Bhupathi","M",26,185,88,"India","IND","2000 Summer",2000,"Summer","Sydney","Tennis","Tennis Men's Doubles",NA
"11219","Mahesh Shrinivas Bhupathi","M",30,185,88,"India","IND","2004 Summer",2004,"Summer","Athina","Tennis","Tennis Men's Doubles",NA
"11219","Mahesh Shrinivas Bhupathi","M",34,185,88,"India","IND","2008 Summer",2008,"Summer","Beijing","Tennis","Tennis Men's Doubles",NA
"11219","Mahesh Shrinivas Bhupathi","M",38,185,88,"India-1","IND","2012 Summer",2012,"Summer","London","Tennis","Tennis Men's Doubles",NA
"11601","Abhinav Bindra","M",17,173,70,"India","IND","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Men's Air Rifle, 10 metres",NA
"11601","Abhinav Bindra","M",21,173,70,"India","IND","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Men's Air Rifle, 10 metres",NA
"11601","Abhinav Bindra","M",25,173,70,"India","IND","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Men's Air Rifle, 10 metres","Gold"
"11601","Abhinav Bindra","M",29,173,70,"India","IND","2012 Summer",2012,"Summer","London","Shooting","Shooting Men's Air Rifle, 10 metres",NA


